step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
297,0.234637,297,0.315839,0.002224,62,0.00040317848,0,0,0,0,0,54,0.35604
298,0.233352,297,0.315839,0.002313,35,0.00091602996,0,0,0,0,0,45,0.35734
299,0.234639,297,0.315839,0.002333,34,0.00046604728,0,0,0,0,0,57,0.35734
300,0.233306,297,0.315839,0.002037,45,0.00093126172,0,0,0,0,0,46,0.35859
301,0.234587,297,0.315839,0.002636,71,0.00049962961,0,0,0,0,0,57,0.35859
302,0.233054,297,0.315839,0.002264,37,0.00090680502,0,0,0,0,0,46,0.3593
303,0.234308,297,0.315839,0.002969,43,0.00051703067,0,0,0,0,0,56,0.3593
304,0.232316,297,0.315839,0.002146,73,0.00075605726,0,0,0,0,0,49,0.35943
305,0.233569,297,0.315839,0.003094,39,0.000486765,0,0,0,0,0,54,0.35943
306,0.231153,297,0.315839,0.001768,42,0.00066187465,0,0,0,0,0,49,0.35857
307,0.232421,297,0.315839,0.003040,63,0.00044678849,0,0,0,0,0,54,0.35857
308,0.230125,297,0.315839,0.001641,40,0.00060068076,0,0,0,0,0,50,0.35746
309,0.231353,297,0.315839,0.003038,85,0.00039074537,0,0,0,0,0,55,0.35746
310,0.228730,297,0.315839,0.001583,48,0.00051168773,0,0,0,0,0,52,0.35573
311,0.229913,297,0.315839,0.003000,66,0.00032220698,0,0,0,0,0,54,0.35573
312,0.227336,297,0.315839,0.001826,58,0.00041333135,0,0,0,0,0,52,0.35418
313,0.228434,297,0.315839,0.002943,75,0.00024908371,0,0,0,0,0,54,0.35418
314,0.225978,297,0.315839,0.001649,71,0.00033945848,0,0,0,0,0,52,0.35231
315,0.227006,297,0.315839,0.002884,168,0.00018123139,0,0,0,0,0,54,0.35231
316,0.224733,297,0.315839,0.001715,89,0.00025707481,0,0,0,0,0,52,0.35023
317,0.225681,297,0.315839,0.002815,119,0.00013096162,0,0,0,0,0,54,0.35023
318,0.223527,297,0.315839,0.001583,100,0.00020159049,0,0,0,0,0,52,0.34842
319,0.224436,297,0.315839,0.002740,116,0.00010043089,0,0,0,0,0,54,0.34842
320,0.222754,297,0.315839,0.001777,147,0.00015653779,0,0,0,0,0,53,0.34711
321,0.223587,297,0.315839,0.002643,155,7.7478248e-05,0,0,0,0,0,54,0.34711
322,0.222517,297,0.315839,0.001626,116,0.00012287962,0,0,0,0,0,52,0.34619
323,0.223257,297,0.315839,0.002560,184,5.6332839e-05,0,0,0,0,0,53,0.34619
324,0.222333,297,0.315839,0.001630,123,9.8799264e-05,0,0,0,0,0,54,0.34528
325,0.223044,297,0.315839,0.002473,187,5.1896008e-05,0,0,0,0,0,53,0.34528
326,0.222880,297,0.315839,0.001602,187,8.2678688e-05,0,0,0,0,0,54,0.34522
327,0.223500,297,0.315839,0.002388,158,4.5253984e-05,0,0,0,0,0,54,0.34522
328,0.223471,297,0.315839,0.001694,162,6.8928508e-05,0,0,0,0,0,56,0.34481
329,0.224004,297,0.315839,0.002253,192,4.3906524e-05,0,0,0,0,0,56,0.34481
330,0.223909,297,0.315839,0.001697,132,6.8131671e-05,0,0,0,0,0,55,0.34433
331,0.224400,297,0.315839,0.002248,154,4.4057782e-05,0,0,0,0,0,56,0.34433
332,0.224599,297,0.315839,0.001826,148,6.2883672e-05,0,0,0,0,0,56,0.3438
333,0.225016,297,0.315839,0.002125,171,4.3532578e-05,0,0,0,0,0,55,0.3438
334,0.225223,297,0.315839,0.001916,234,5.9710484e-05,0,0,0,0,0,58,0.34335
335,0.225383,297,0.315839,0.002039,189,4.0864218e-05,0,0,0,0,0,58,0.34335
336,0.225435,297,0.315839,0.001980,220,3.1942986e-05,0,0,0,0,0,57,0.34335
337,0.225421,297,0.315839,0.001980,190,2.7027946e-05,0,0,0,0,0,57,0.34335
338,0.225732,297,0.315839,0.001965,186,3.4350186e-05,0,0,0,0,0,59,0.34334
339,0.225549,297,0.315839,0.001989,209,2.4964219e-05,0,0,0,0,0,56,0.34334
340,0.225696,297,0.315839,0.001966,286,7.0034798e-05,0,0,0,0,0,60,0.34299
341,0.225412,297,0.315839,0.001986,193,2.9842025e-05,0,0,0,0,0,55,0.34299
342,0.225408,297,0.315839,0.002096,226,0.00010437236,0,0,0,0,0,61,0.34225
343,0.225260,297,0.315839,0.001864,198,3.4893016e-05,0,0,0,0,0,56,0.34225
344,0.225415,297,0.315839,0.002016,202,0.00012405577,0,0,0,0,0,61,0.34144
345,0.225095,297,0.315839,0.001938,248,4.1094171e-05,0,0,0,0,0,56,0.34144
346,0.225423,297,0.315839,0.001956,231,0.000150855,0,0,0,0,0,61,0.3408
347,0.225235,297,0.315839,0.001993,227,5.1136772e-05,0,0,0,0,0,55,0.3408
348,0.225516,297,0.315839,0.001923,237,0.00018893026,0,0,0,0,0,60,0.33997
349,0.225002,297,0.315839,0.002024,186,6.5740571e-05,0,0,0,0,0,55,0.33997
350,0.225331,297,0.315839,0.001908,249,0.0002246176,0,0,0,0,0,60,0.33912
351,0.225033,297,0.315839,0.002039,220,8.3389845e-05,0,0,0,0,0,55,0.33912
352,0.225755,297,0.315839,0.001942,234,0.00026679116,0,0,0,0,0,61,0.33863
353,0.225083,297,0.315839,0.002009,186,0.00010634855,0,0,0,0,0,55,0.33863
354,0.225719,297,0.315839,0.001896,217,0.00028317991,0,0,0,0,0,60,0.33782
355,0.225295,297,0.315839,0.002054,220,0.00012595902,0,0,0,0,0,55,0.33782
356,0.226548,297,0.315839,0.002008,221,0.00034557084,0,0,0,0,0,60,0.3377
357,0.225773,297,0.315839,0.002093,186,0.00015675404,0,0,0,0,0,56,0.3377
358,0.227320,297,0.315839,0.002312,177,0.00039820918,0,0,0,0,0,59,0.33791
359,0.226694,297,0.315839,0.001935,253,0.00018368636,0,0,0,0,0,57,0.33791
360,0.228759,297,0.315839,0.002339,176,0.00047810846,0,0,0,0,0,58,0.33868
361,0.227656,297,0.315839,0.002007,212,0.00021866395,0,0,0,0,0,59,0.33868
362,0.229538,297,0.315839,0.002283,199,0.00050653134,0,0,0,0,0,58,0.33898
363,0.228532,297,0.315839,0.001992,249,0.0002445641,0,0,0,0,0,56,0.33898
364,0.230613,297,0.315839,0.002425,213,0.00053041424,0,0,0,0,0,56,0.33996
365,0.229355,297,0.315839,0.002483,208,0.00026309909,0,0,0,0,0,58,0.33996
366,0.231348,297,0.315839,0.002269,170,0.00050624411,0,0,0,0,0,56,0.34095
367,0.230350,297,0.315839,0.001942,236,0.00026540102,0,0,0,0,0,56,0.34095
368,0.232594,297,0.315839,0.002131,138,0.00050678826,0,0,0,0,0,56,0.3417
369,0.231568,297,0.315839,0.002265,175,0.0002725385,0,0,0,0,0,57,0.3417
370,0.233996,297,0.315839,0.002196,116,0.0005327106,0,0,0,0,0,55,0.34253
371,0.233025,297,0.315839,0.001804,216,0.00028151383,0,0,0,0,0,57,0.34253
372,0.235475,297,0.315839,0.002144,109,0.00057711381,0,0,0,0,0,55,0.34383
373,0.234453,297,0.315839,0.001856,177,0.00029556538,0,0,0,0,0,55,0.34383
374,0.237129,297,0.315839,0.002127,136,0.00054771073,0,0,0,0,0,55,0.34555
375,0.236172,297,0.315839,0.002415,180,0.00029220848,0,0,0,0,0,55,0.34555
376,0.238803,297,0.315839,0.002059,106,0.00054304519,0,0,0,0,0,54,0.34681
377,0.237693,297,0.315839,0.001942,202,0.00028568078,0,0,0,0,0,54,0.34681
378,0.240092,297,0.315839,0.002056,126,0.0004948586,0,0,0,0,0,53,0.34858
379,0.239181,297,0.315839,0.001945,204,0.00026744969,0,0,0,0,0,55,0.34858
380,0.241377,297,0.315839,0.002064,127,0.00041160296,0,0,0,0,0,53,0.35044
381,0.240527,297,0.315839,0.001935,200,0.00023066042,0,0,0,0,0,55,0.35044
382,0.242325,297,0.315839,0.002052,159,0.00032498917,0,0,0,0,0,55,0.35193
383,0.241497,297,0.315839,0.001941,197,0.00018998887,0,0,0,0,0,54,0.35193
384,0.242539,297,0.315839,0.002079,192,0.0002381483,0,0,0,0,0,55,0.35327
385,0.241777,297,0.315839,0.001909,162,0.00014328284,0,0,0,0,0,55,0.35327
386,0.242309,297,0.315839,0.002101,221,0.00017133829,0,0,0,0,0,53,0.35429
387,0.241685,297,0.315839,0.001882,161,0.00010163688,0,0,0,0,0,52,0.35429
388,0.241909,297,0.315839,0.002117,164,0.00012111765,0,0,0,0,0,50,0.35504
389,0.241391,297,0.315839,0.001862,157,6.9698749e-05,0,0,0,0,0,50,0.35504
390,0.241157,297,0.315839,0.002125,152,8.7218347e-05,0,0,0,0,0,52,0.3551
391,0.240756,297,0.315839,0.001849,158,4.7054862e-05,0,0,0,0,0,51,0.3551
392,0.240180,297,0.315839,0.002100,124,6.6362089e-05,0,0,0,0,0,51,0.35449
393,0.239882,297,0.315839,0.001866,135,3.5213853e-05,0,0,0,0,0,51,0.35449
394,0.239168,297,0.315839,0.002064,161,6.6976812e-05,0,0,0,0,0,50,0.35443
395,0.239008,297,0.315839,0.001893,110,3.4218975e-05,0,0,0,0,0,51,0.35443
396,0.238031,297,0.315839,0.001996,112,0.00010784515,0,0,0,0,0,48,0.35395
397,0.238088,297,0.315839,0.001950,126,5.3846298e-05,0,0,0,0,0,51,0.35395
398,0.236816,297,0.315839,0.002092,61,0.0001924081,0,0,0,0,0,51,0.35342
399,0.237112,297,0.315839,0.001855,122,8.9082163e-05,0,0,0,0,0,53,0.35342
